date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:46	35304/35304	---M--	200	added ('OK')	application/octet-stream	etag:%22613a95c2-89e8%22	https://btech.id/static/template_v2/css/fonts/Simple-Line-Icons.ttf?5243c50b4743	btech.id/static/template_v2/css/fonts/Simple-Line-Iconsf6b3.ttf	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:48	179404/179404	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22613a95c2-2bccc%22	https://btech.id/static/template_v2/css/fonts/Simple-Line-Icons.svg?5243c50b4743	btech.id/static/template_v2/css/fonts/Simple-Line-Iconsf6b3.svg	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:48	28993/28993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:02:48%20GMT	https://btech.id/static/template_v2/images/preloader-dark.gif	btech.id/static/template_v2/images/preloader-dark.gif	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:49	65552/65552	---M--	200	added ('OK')	application/octet-stream	etag:%225e997608-10010%22	https://btech.id/static/fonts/Exo2-Regular.otf?6d4b7e6509aa	btech.id/static/fonts/Exo2-Regulard409.otf	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:51	171676/171676	---M--	200	added ('OK')	application/octet-stream	etag:%225e997608-29e9c%22	https://btech.id/static/fonts/Roboto-Regular.ttf?6d4b7e6509aa	btech.id/static/fonts/Roboto-Regulard409.ttf	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:52	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225a5f6ed3-2876e%22	https://btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0&f0a0f1ee5040	btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfonta6a5.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:53	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225a5f6ed3-2876e%22	https://btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfont.eot?&f0a0f1ee5040	btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfonte89a.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:53	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%225a5f6ed3-12d68%22	https://btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0&f0a0f1ee5040	btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfonta6a5.woff2	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:54	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%225a5f6ed3-17ee8%22	https://btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0&f0a0f1ee5040	btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfonta6a5.woff	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:56	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225a5f6ed3-286ac%22	https://btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0&f0a0f1ee5040	btech.id/static/website/plugins/font-awesome/fonts/fontawesome-webfonta6a5.ttf	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
